label,context
clickchuotphai,Giúp tôi chuột phải ngay chỗ đó ngay nhé
clickchuotphai,Tôi yêu cầu bạn bấm nút chuột phải để chọn
clickchuotphai,Tôi cần bạn dùng chuột phải tương tác
clickchuotphai,Vui lòng ấn mạnh chuột phải
clickchuotphai,Bạn có thể click chuột phải tại vị trí con trỏ được không
clickchuotphai,Làm ơn chạm chuột phải
clickchuotphai,Tôi muốn bạn nhấp chuột phải để mở tùy chọn
clickchuotphai,Giúp tôi click chuột phải tại vị trí con trỏ ngay nhé
clickchuotphai,Hãy giúp tôi nhấn chuột phải
clickchuotphai,Bạn có thể vui lòng kích chuột phải được không
clickchuotphai,Hãy thực hiện thao tác sau: nhấp chuột phải để mở tùy chọn
clickchuotphai,Làm ơn ấn chuột bên phải
clickchuotphai,Vui lòng click phải
clickchuotphai,Hãy thực hiện thao tác sau: thực hiện thao tác chuột phải
clickchuotphai,Tôi muốn bạn nhấn vào nút phải trên chuột
clickchuotphai,Bạn có thể kích chuột phải được không
clickchuotphai,Hãy giúp tôi bấm nút chuột phải để chọn
clickchuotphai,Làm ơn dùng chuột phải tương tác
clickchuotphai,Hãy giúp tôi mở menu bằng chuột phải
clickchuotphai,ấn chuột bên phải
clickchuottrai,Bạn có thể nhấn chuột trái được không
clickchuottrai,Bạn có thể nhấn trái tại vị trí trỏ chuột được không
clickchuottrai,Tôi cần bạn nhấn trái tại vị trí trỏ chuột
clickchuottrai,Tôi cần bạn bấm chuột trái giúp tôi
clickchuottrai,Hãy thực hiện thao tác sau: gõ nhẹ chuột trái
clickchuottrai,Hãy thực hiện thao tác sau: click trái
clickchuottrai,Tôi muốn bạn ấn chuột bên trái
clickchuottrai,Giúp tôi ấn nhẹ chuột trái ngay nhé
clickchuottrai,Vui lòng click trái
clickchuottrai,ấn vào nút trái của chuột
clickchuottrai,Hãy giúp tôi thực hiện thao tác chuột trái
clickchuottrai,Bạn có thể nhấp chuột trái ngay chỗ đó được không
clickchuottrai,Hãy giúp tôi ấn vào nút trái của chuột
clickchuottrai,Bạn có thể dùng chuột trái tương tác được không
clickchuottrai,Tôi yêu cầu bạn gõ nhẹ chuột trái
clickchuottrai,Hãy giúp tôi kích hoạt bằng chuột trái
clickchuottrai,gõ nhẹ chuột trái
clickchuottrai,Tôi yêu cầu bạn ấn chuột bên trái
clickchuottrai,Hãy thực hiện thao tác sau: click chuột trái để mở
clickchuottrai,Tôi cần bạn ấn nhẹ chuột trái
clickchuottrai,Hãy thực hiện thao tác sau: nhấp chuột trái ngay chỗ đó
clickchuottrai,click chuột trái để mở
clickchuottrai,Hãy giúp tôi ấn nhẹ chuột trái
clickchuottrai,nhấn chuột trái
clickchuottrai,Tôi cần bạn bấm chuột trái giúp tôi
clickchuottrai,Tôi cần bạn bấm nút chuột trái để chọn
clickchuottrai,Tôi yêu cầu bạn ấn chuột bên trái
clickchuottrai,Làm ơn click chuột trái để mở
clickchuottrai,Tôi muốn bạn dùng chuột trái tương tác
clickchuottrai,Làm ơn gõ nhẹ chuột trái
clickchuottrai,Bạn có thể nhấp chuột trái ngay chỗ đó được không
clickchuottrai,Tôi yêu cầu bạn nhấn trái tại vị trí trỏ chuột
clickchuottrai,Giúp tôi nhấp chuột trái ngay chỗ đó ngay nhé
clickchuottrai,bấm chuột trái
clickchuottrai,Làm ơn bấm chuột trái giúp tôi
clickchuottrai,Tôi yêu cầu bạn nhấn chuột trái
clickchuottrai,nhấn trái tại vị trí trỏ chuột
clickchuottrai,Hãy thực hiện thao tác sau: gõ nhẹ chuột trái
clickchuottrai,Bạn có thể ấn vào nút trái của chuột được không
clickchuottrai,Tôi cần bạn click chuột trái để mở
clickchuottrai,kích hoạt bằng chuột trái
clickchuottrai,ấn chuột bên trái
clickchuottrai,Vui lòng ấn vào nút trái của chuột
clickchuottrai,Giúp tôi bấm nút chuột trái để chọn ngay nhé
clickchuottrai,Hãy giúp tôi gõ nhẹ chuột trái
clickchuottrai,bấm nút chuột trái để chọn
clickchuottrai,Tôi yêu cầu bạn kích hoạt bằng chuột trái
clickchuottrai,Hãy giúp tôi nhấn trái tại vị trí trỏ chuột
clickchuottrai,Hãy giúp tôi click chuột trái vào mục này
clickchuottrai,Giúp tôi gõ nhẹ chuột trái ngay nhé
clickchuottrai,Tôi yêu cầu bạn nhấp chuột trái ngay chỗ đó
clickchuottrai,Giúp tôi nhấn trái tại vị trí trỏ chuột ngay nhé
clickchuottrai,Tôi muốn bạn gõ nhẹ chuột trái
clickchuottrai,Tôi muốn bạn ấn nhẹ chuột trái
clickchuottrai,Tôi yêu cầu bạn kích chuột trái
clickchuottrai,Bạn có thể thực hiện thao tác chuột trái được không
clickchuottrai,Tôi cần bạn dùng chuột trái tương tác
clickchuottrai,Bạn có thể nhấn chuột trái được không
clickchuottrai,Bạn có thể bấm nút chuột trái để chọn được không
clickchuottrai,Vui lòng bấm chuột trái
clickchuottrai,Tôi muốn bạn click chuột trái để mở
clickchuottrai,Tôi cần bạn nhấn chọn bằng chuột trái
clickchuottrai,Làm ơn nhấp chuột trái ngay chỗ đó
clickchuottrai,Giúp tôi click chuột trái để mở ngay nhé
clickchuottrai,Hãy giúp tôi bấm chuột trái
clickchuottrai,Hãy thực hiện thao tác sau: click nhẹ bằng chuột trái
clickchuottrai,Hãy thực hiện thao tác sau: dùng chuột trái tương tác
clickchuottrai,Hãy thực hiện thao tác sau: ấn chuột bên trái
clickchuottrai,Hãy giúp tôi click trái
clickchuottrai,Làm ơn dùng chuột trái tương tác
clickchuottrai,Giúp tôi ấn vào nút trái của chuột ngay nhé
clickchuottrai,Làm ơn bấm nút chuột trái để chọn
clickchuottrai,Bạn có thể kích hoạt bằng chuột trái được không
clickchuottrai,Tôi yêu cầu bạn ấn chuột bên trái
clickchuottrai,Tôi yêu cầu bạn ấn chuột bên trái
clickchuottrai,kích hoạt bằng chuột trái
clickchuottrai,Giúp tôi kích hoạt bằng chuột trái ngay nhé
clickchuottrai,Vui lòng nhấn chuột trái
clickchuottrai,Tôi muốn bạn nhấn chọn bằng chuột trái
clickchuottrai,Hãy thực hiện thao tác sau: nhấn chọn bằng chuột trái
clickchuottrai,Tôi muốn bạn thực hiện thao tác chuột trái
clickchuottrai,Tôi muốn bạn bấm chuột trái
clickchuottrai,Bạn có thể nhấn chọn bằng chuột trái được không
clickchuottrai,Tôi muốn bạn bấm nút chuột trái để chọn
clickchuottrai,Giúp tôi nhấn trái tại vị trí trỏ chuột ngay nhé
clickchuottrai,Làm ơn gõ nhẹ chuột trái
clickchuottrai,Giúp tôi dùng chuột trái tương tác ngay nhé
clickchuottrai,nhấp chuột trái ngay chỗ đó
clickchuottrai,Tôi cần bạn gõ nhẹ chuột trái
clickchuottrai,Tôi muốn bạn nhấn chuột trái
clickchuottrai,Hãy thực hiện thao tác sau: nhấn chuột trái
clickchuottrai,ấn chuột bên trái
clickchuottrai,Tôi yêu cầu bạn bấm chuột trái
clickchuottrai,Vui lòng kích chuột trái
clickchuottrai,Hãy thực hiện thao tác sau: nhấn trái tại vị trí trỏ chuột
clickchuottrai,bấm nút chuột trái để chọn
clickchuottrai,Giúp tôi gõ nhẹ chuột trái ngay nhé
clickchuottrai,Làm ơn click chuột trái vào mục này
clickchuottrai,Hãy thực hiện thao tác sau: nhấn trái tại vị trí trỏ chuột
clickchuottrai,Tôi muốn bạn click trái
dungchuongtrinh,Tôi cần bạn dừng mọi tiến trình hiện tại
dungchuongtrinh,dừng mọi tiến trình hiện tại
dungchuongtrinh,Giúp tôi hủy thao tác và dừng chương trình ngay nhé
dungchuongtrinh,Tôi muốn bạn hủy chạy chương trình
dungchuongtrinh,Tôi yêu cầu bạn ngắt tiến trình đang chạy
dungchuongtrinh,Vui lòng ngừng hoạt động phần mềm
dungchuongtrinh,Hãy thực hiện thao tác sau: dừng hoạt động hiện tại
dungchuongtrinh,Bạn có thể đóng ứng dụng lại được không
dungchuongtrinh,Hãy giúp tôi thoát chương trình ngay lập tức
dungchuongtrinh,Hãy thực hiện thao tác sau: dừng chương trình lại
dungchuongtrinh,Hãy giúp tôi stop lại ngay
dungchuongtrinh,Làm ơn ngừng chạy ứng dụng
dungchuongtrinh,Giúp tôi ngừng chạy ứng dụng ngay nhé
dungchuongtrinh,thoát chương trình ngay lập tức
dungchuongtrinh,Làm ơn tắt app này giùm tôi
dungchuongtrinh,Hãy thực hiện thao tác sau: pause chương trình trong giây lát
dungchuongtrinh,Hãy thực hiện thao tác sau: hủy thao tác và dừng chương trình
dungchuongtrinh,Hãy thực hiện thao tác sau: dừng mọi tiến trình hiện tại
dungchuongtrinh,Làm ơn ngừng hoạt động phần mềm
dungchuongtrinh,Bạn có thể ngừng hoạt động phần mềm được không
dungchuongtrinh,Tôi muốn bạn dừng mọi tiến trình hiện tại
dungchuongtrinh,Tôi cần bạn dừng mọi tiến trình hiện tại
dungchuongtrinh,Hãy thực hiện thao tác sau: ngắt ứng dụng ngay lập tức
dungchuongtrinh,hủy thao tác và dừng chương trình
dungchuongtrinh,Hãy giúp tôi dừng mọi tiến trình hiện tại
dungchuongtrinh,Hãy thực hiện thao tác sau: stop ứng dụng này ngay
dungchuongtrinh,Tôi muốn bạn dừng hoạt động hiện tại
dungchuongtrinh,Tôi yêu cầu bạn hủy chạy chương trình
dungchuongtrinh,Tôi cần bạn stop ứng dụng này ngay
dungchuongtrinh,Tôi cần bạn ngưng app lại
dungchuongtrinh,Tôi yêu cầu bạn ngừng hoạt động phần mềm
dungchuongtrinh,Làm ơn ngừng chạy ứng dụng
dungchuongtrinh,Làm ơn ngừng hoạt động phần mềm
dungchuongtrinh,Hãy giúp tôi ngắt ứng dụng ngay lập tức
dungchuongtrinh,Hãy giúp tôi dừng hoạt động hiện tại
dungchuongtrinh,Làm ơn stop ứng dụng này ngay
dungchuongtrinh,Hãy giúp tôi dừng mọi tiến trình hiện tại
dungchuongtrinh,dừng mọi tiến trình hiện tại
dungchuongtrinh,Tôi cần bạn ngừng chạy ứng dụng
dungchuongtrinh,Giúp tôi dừng hoạt động hiện tại ngay nhé
dungchuongtrinh,Tôi yêu cầu bạn kết thúc chương trình đang hoạt động
dungchuongtrinh,Hãy thực hiện thao tác sau: ngừng hoạt động phần mềm
dungchuongtrinh,dừng chương trình lại
dungchuongtrinh,Làm ơn dừng chương trình lại
dungchuongtrinh,Làm ơn stop ứng dụng này ngay
dungchuongtrinh,Hãy thực hiện thao tác sau: tắt chương trình này
dungchuongtrinh,Tôi cần bạn dừng mọi tiến trình hiện tại
dungchuongtrinh,Giúp tôi tắt app này giùm tôi ngay nhé
dungchuongtrinh,Hãy thực hiện thao tác sau: tắt app này giùm tôi
dungchuongtrinh,Vui lòng ngắt ứng dụng ngay lập tức
dungchuongtrinh,Tôi muốn bạn tắt app này giùm tôi
dungchuongtrinh,Giúp tôi dừng mọi tiến trình hiện tại ngay nhé
dungchuongtrinh,Hãy giúp tôi ngừng chạy ứng dụng
dungchuongtrinh,Làm ơn hủy thao tác và dừng chương trình
dungchuongtrinh,Vui lòng hủy thao tác và dừng chương trình
dungchuongtrinh,Tôi muốn bạn ngừng chạy ứng dụng
dungchuongtrinh,Tôi cần bạn đóng ứng dụng lại
dungchuongtrinh,Hãy thực hiện thao tác sau: ngừng hoạt động phần mềm
dungchuongtrinh,Tôi muốn bạn thoát ra khỏi chương trình
dungchuongtrinh,Hãy thực hiện thao tác sau: stop ứng dụng này ngay
dungchuongtrinh,Tôi yêu cầu bạn hủy thao tác và dừng chương trình
dungchuongtrinh,Tôi yêu cầu bạn hủy chạy chương trình
dungchuongtrinh,Hãy giúp tôi dừng mọi tiến trình hiện tại
dungchuongtrinh,Làm ơn stop ứng dụng này ngay
dungchuongtrinh,Hãy giúp tôi tắt app này giùm tôi
dungchuongtrinh,Vui lòng đóng cửa sổ ứng dụng này
dungchuongtrinh,Tôi cần bạn ngắt tiến trình đang chạy
dungchuongtrinh,Vui lòng dừng hoạt động hiện tại
dungchuongtrinh,Vui lòng tắt chương trình này
dungchuongtrinh,ngừng chạy ứng dụng
dungchuongtrinh,Tôi yêu cầu bạn hủy thao tác và dừng chương trình
dungchuongtrinh,Vui lòng ngưng app lại
dungchuongtrinh,Bạn có thể tắt app này giùm tôi được không
dungchuongtrinh,Tôi yêu cầu bạn ngắt ứng dụng ngay lập tức
dungchuongtrinh,Tôi muốn bạn tắt app này giùm tôi
dungchuongtrinh,Tôi yêu cầu bạn stop ứng dụng này ngay
dungchuongtrinh,Hãy giúp tôi ngừng hoạt động phần mềm
dungchuongtrinh,Tôi muốn bạn ngắt tiến trình đang chạy
dungchuongtrinh,Làm ơn thoát chương trình ngay lập tức
dungchuongtrinh,Làm ơn dừng chương trình lại
dungchuongtrinh,Tôi yêu cầu bạn ngừng chạy ứng dụng
dungchuongtrinh,Giúp tôi hủy chạy chương trình ngay nhé
dungchuongtrinh,ngắt tiến trình đang chạy
dungchuongtrinh,Làm ơn đóng cửa sổ ứng dụng này
dungchuongtrinh,Làm ơn hủy thao tác và dừng chương trình
dungchuongtrinh,Tôi cần bạn đóng ứng dụng lại
dungchuongtrinh,Tôi cần bạn hủy chạy chương trình
dungchuongtrinh,Tôi muốn bạn dừng mọi tiến trình hiện tại
dungchuongtrinh,Làm ơn ngừng hoạt động phần mềm
dungchuongtrinh,Tôi cần bạn ngắt tiến trình đang chạy
dungchuongtrinh,đóng cửa sổ ứng dụng này
dungchuongtrinh,Hãy thực hiện thao tác sau: dừng chương trình lại
dungchuongtrinh,Vui lòng pause chương trình trong giây lát
dungchuongtrinh,Vui lòng đóng cửa sổ ứng dụng này
dungchuongtrinh,Tôi yêu cầu bạn đóng cửa sổ ứng dụng này
dungchuongtrinh,Tôi cần bạn ngắt tiến trình đang chạy
dungchuongtrinh,kết thúc chương trình đang hoạt động
dungchuongtrinh,Làm ơn đóng cửa sổ ứng dụng này
dungchuongtrinh,Hãy giúp tôi stop ứng dụng này ngay
dungchuongtrinh,Giúp tôi pause chương trình trong giây lát ngay nhé
moapp,Vui lòng mở trình duyệt google
moapp,khởi chạy facebook
moapp,Tôi muốn bạn mở app youtube trên máy
moapp,Tôi yêu cầu bạn giúp tôi mở facebook ngay
moapp,Hãy thực hiện thao tác sau: truy cập google đi
moapp,Giúp tôi truy cập google đi ngay nhé
moapp,Bạn có thể khởi chạy facebook được không
moapp,Vui lòng mở app facebook
moapp,Hãy thực hiện thao tác sau: mở trình duyệt google
moapp,Vui lòng mở ứng dụng facebook giúp tôi
moapp,Tôi yêu cầu bạn search google cho tôi
moapp,Làm ơn mở youtube để nghe nhạc
moapp,Tôi muốn bạn mở ứng dụng google nhanh lên
moapp,Tôi muốn bạn khởi động app youtube
moapp,Tôi cần bạn truy cập google đi
moapp,Tôi muốn bạn mở app facebook
moapp,Vui lòng khởi động app youtube
moapp,Tôi yêu cầu bạn bật google để tìm kiếm
moapp,Tôi muốn bạn mở app youtube trên máy
moapp,Hãy thực hiện thao tác sau: mở facebook để tôi xem tin tức
moapp,Tôi cần bạn khởi động app youtube
moapp,Làm ơn mở youtube để nghe nhạc
moapp,Làm ơn mở app youtube trên máy
moapp,Hãy thực hiện thao tác sau: mở ứng dụng facebook giúp tôi
moapp,Tôi cần bạn khởi chạy youtube cho tôi
moapp,Bạn có thể khởi chạy youtube cho tôi được không
moapp,Bạn có thể bật ứng dụng google được không
moapp,Hãy giúp tôi bật ứng dụng facebook ngay lập tức
moapp,Hãy thực hiện thao tác sau: mở facebook để tôi xem tin tức
moapp,mở ứng dụng facebook giúp tôi
moapp,Tôi yêu cầu bạn bật ứng dụng facebook ngay lập tức
moapp,Tôi cần bạn khởi động app youtube
moapp,Bạn có thể khởi chạy facebook được không
moapp,Hãy thực hiện thao tác sau: khởi chạy youtube cho tôi
moapp,mở facebook để tôi xem tin tức
moapp,Hãy thực hiện thao tác sau: bật ứng dụng facebook ngay lập tức
moapp,mở app facebook
moapp,Làm ơn giúp tôi mở facebook ngay
moapp,chạy ứng dụng youtube
moapp,Giúp tôi mở youtube để nghe nhạc ngay nhé
moapp,Vui lòng mở app youtube trên máy
moapp,Làm ơn search google cho tôi
moapp,Hãy giúp tôi mở trình duyệt google
moapp,Giúp tôi chạy ứng dụng youtube ngay nhé
moapp,Tôi yêu cầu bạn mở ứng dụng facebook giúp tôi
moapp,Tôi muốn bạn mở app youtube trên máy
moapp,giúp tôi mở facebook ngay
moapp,khởi chạy youtube cho tôi
moapp,Vui lòng truy cập google đi
moapp,Giúp tôi mở ứng dụng facebook giúp tôi ngay nhé
moapp,Tôi yêu cầu bạn khởi chạy facebook
moapp,Tôi muốn bạn bật ứng dụng google
moapp,Làm ơn mở ứng dụng facebook giúp tôi
moapp,Tôi yêu cầu bạn khởi động app youtube
moapp,mở ứng dụng google nhanh lên
moapp,Tôi cần bạn mở facebook để tôi xem tin tức
moapp,Giúp tôi mở app youtube trên máy ngay nhé
moapp,Tôi muốn bạn mở app youtube trên máy
moapp,Bạn có thể bật google để tìm kiếm được không
moapp,Tôi muốn bạn mở app facebook
moapp,Hãy giúp tôi mở ứng dụng google nhanh lên
moapp,Hãy thực hiện thao tác sau: bật ứng dụng google
moapp,Vui lòng mở ứng dụng facebook giúp tôi
moapp,Tôi muốn bạn khởi chạy youtube cho tôi
moapp,Tôi yêu cầu bạn truy cập google đi
moapp,Tôi muốn bạn bật ứng dụng facebook ngay lập tức
moapp,Hãy giúp tôi mở youtube để nghe nhạc
moapp,Vui lòng mở app youtube giùm tôi
moapp,Tôi cần bạn mở facebook để tôi xem tin tức
moapp,Vui lòng mở trình duyệt google
moapp,Giúp tôi khởi chạy facebook ngay nhé
moapp,Tôi muốn bạn bật google để tìm kiếm
moapp,Bạn có thể bật app facebook được không
moapp,Tôi yêu cầu bạn bật ứng dụng google
moapp,Tôi yêu cầu bạn chạy ứng dụng youtube
moapp,Tôi yêu cầu bạn khởi động app youtube
moapp,Tôi muốn bạn mở ứng dụng google nhanh lên
moapp,Hãy thực hiện thao tác sau: bật app facebook
moapp,khởi chạy facebook
moapp,Vui lòng mở app youtube trên máy
moapp,Tôi yêu cầu bạn chạy ứng dụng youtube
moapp,Tôi yêu cầu bạn search google cho tôi
moapp,Vui lòng bật app facebook
moapp,mở ứng dụng google nhanh lên
moapp,Tôi cần bạn mở trình duyệt google
moapp,Tôi muốn bạn mở facebook để tôi xem tin tức
moapp,Hãy thực hiện thao tác sau: giúp tôi mở facebook ngay
moapp,Hãy thực hiện thao tác sau: chạy ứng dụng youtube
moapp,Tôi yêu cầu bạn search google cho tôi
moapp,Hãy thực hiện thao tác sau: mở app youtube trên máy
moapp,Hãy giúp tôi mở ứng dụng facebook giúp tôi
moapp,Giúp tôi mở app facebook ngay nhé
moapp,Giúp tôi mở app youtube trên máy ngay nhé
moapp,Vui lòng mở ứng dụng google nhanh lên
moapp,Hãy giúp tôi mở app youtube trên máy
moapp,Tôi cần bạn bật ứng dụng google
moapp,Tôi yêu cầu bạn mở ứng dụng facebook giúp tôi
moapp,Hãy giúp tôi mở youtube để nghe nhạc
moapp,Hãy thực hiện thao tác sau: khởi chạy youtube cho tôi
moapp,Vui lòng khởi chạy youtube cho tôi
phongto,Hãy thực hiện thao tác sau: tăng độ lớn hiển thị
phongto,Làm ơn zoom in vào khu vực đó
phongto,Vui lòng lớn hơn nữa đi
phongto,mở rộng toàn màn hình
phongto,Làm ơn đẩy kích thước lớn lên
phongto,Hãy giúp tôi tăng độ lớn hiển thị
phongto,Tôi cần bạn phóng lớn hình ảnh này
phongto,Tôi cần bạn tăng kích thước hiển thị
phongto,Làm ơn tăng kích thước hiển thị
phongto,Bạn có thể phóng đại nội dung được không
phongto,Tôi yêu cầu bạn tăng độ lớn hiển thị
phongto,Làm ơn zoom vào để thấy rõ hơn
phongto,Vui lòng mở rộng toàn màn hình
phongto,Hãy thực hiện thao tác sau: cho khung hình lớn hơn
phongto,Hãy thực hiện thao tác sau: mở rộng toàn màn hình
phongto,Tôi cần bạn mở rộng kích thước cửa sổ
phongto,Tôi cần bạn làm to khung cửa sổ
phongto,Tôi cần bạn phóng đại nội dung
phongto,Tôi muốn bạn làm to khung cửa sổ
phongto,Làm ơn mở rộng kích thước cửa sổ
phongto,Tôi cần bạn kéo rộng màn hình
phongto,Hãy giúp tôi tăng size hiển thị
phongto,mở rộng kích thước cửa sổ
phongto,Hãy thực hiện thao tác sau: mở rộng kích thước cửa sổ
phongto,lớn hơn nữa đi
phongto,Vui lòng làm to khung cửa sổ
phongto,Hãy giúp tôi làm to khung cửa sổ
phongto,Hãy giúp tôi tăng size hiển thị
phongto,Làm ơn cho khung hình lớn hơn
phongto,Tôi yêu cầu bạn cho cửa sổ lớn hết mức
phongto,Vui lòng mở rộng kích thước cửa sổ
phongto,Hãy giúp tôi kéo rộng màn hình
phongto,Làm ơn zoom mạnh lên
phongto,Vui lòng tăng size hiển thị
phongto,Hãy thực hiện thao tác sau: cho khung hình lớn hơn
phongto,Làm ơn tăng size hiển thị
phongto,Tôi muốn bạn zoom vào để thấy rõ hơn
phongto,Hãy thực hiện thao tác sau: đẩy kích thước lớn lên
phongto,Giúp tôi zoom vào để thấy rõ hơn ngay nhé
phongto,Vui lòng zoom vào để thấy rõ hơn
phongto,Hãy thực hiện thao tác sau: phóng đại nội dung
phongto,Giúp tôi tăng size hiển thị ngay nhé
phongto,Tôi yêu cầu bạn làm nó to ra
phongto,Giúp tôi phóng to màn hình này lên ngay nhé
phongto,Tôi cần bạn phóng lớn hình ảnh này
phongto,Tôi muốn bạn kéo rộng màn hình
phongto,Hãy thực hiện thao tác sau: kéo rộng màn hình
phongto,Tôi cần bạn tăng size hiển thị
phongto,mở rộng toàn màn hình
phongto,Hãy thực hiện thao tác sau: đẩy kích thước lớn lên
phongto,Làm ơn phóng đại nội dung
phongto,Hãy giúp tôi phóng to màn hình này lên
phongto,Vui lòng tăng kích thước hiển thị
phongto,Hãy giúp tôi phóng to thêm chút nữa
phongto,Hãy giúp tôi cho cửa sổ lớn hết mức
phongto,Vui lòng làm to khung cửa sổ
phongto,Hãy thực hiện thao tác sau: mở to màn hình ra
phongto,Tôi cần bạn zoom vào để thấy rõ hơn
phongto,Hãy thực hiện thao tác sau: cho cửa sổ lớn hết mức
phongto,Tôi cần bạn phóng đại nội dung
phongto,Tôi cần bạn mở to màn hình ra
phongto,mở to màn hình ra
phongto,Tôi yêu cầu bạn mở to màn hình ra
phongto,Bạn có thể mở rộng toàn màn hình được không
phongto,Tôi muốn bạn phóng lớn hình ảnh này
phongto,Tôi muốn bạn phóng to màn hình này lên
phongto,mở rộng kích thước cửa sổ
phongto,Hãy thực hiện thao tác sau: phóng to thêm chút nữa
phongto,Làm ơn phóng to màn hình này lên
phongto,Tôi yêu cầu bạn phóng đại nội dung
phongto,Làm ơn làm to khung cửa sổ
phongto,Hãy thực hiện thao tác sau: làm nó to ra
phongto,Vui lòng phóng đại nội dung
phongto,Tôi cần bạn làm nó to ra
phongto,Làm ơn cho khung hình lớn hơn
phongto,Tôi cần bạn phóng lớn hình ảnh này
phongto,Vui lòng tăng độ lớn hiển thị
